timestamp,open,high,low,close,volume
2025-02-28 15:05:00,144.42,144.62,144.1,144.11,31922
2025-02-28 15:06:00,144.11,144.72,144.05,144.71,27876
2025-02-28 15:07:00,144.71,144.78,144.29,144.45,33194
2025-02-28 15:08:00,144.46,145.0,144.42,144.83,41231
2025-02-28 15:09:00,144.83,144.87,144.41,144.41,30835
2025-02-28 15:10:00,144.42,145.0,144.42,144.99,29193
2025-02-28 15:11:00,144.99,145.16,144.63,144.68,33352
2025-02-28 15:12:00,144.68,144.88,144.44,144.86,49916
2025-02-28 15:13:00,144.85,145.04,144.77,144.96,22365
2025-02-28 15:14:00,144.96,145.87,144.87,145.7,46784
2025-02-28 15:15:00,145.71,145.72,145.08,145.32,91080
2025-02-28 15:16:00,145.33,145.95,145.3,145.84,74861
2025-02-28 15:17:00,145.84,145.86,145.22,145.53,53870
2025-02-28 15:18:00,145.52,145.84,145.42,145.69,40555
2025-02-28 15:19:00,145.68,145.85,145.51,145.69,30315
2025-02-28 15:20:00,145.68,145.99,145.38,145.71,29835
2025-02-28 15:21:00,145.71,146.09,145.61,145.88,29218
2025-02-28 15:22:00,145.88,146.49,145.84,146.46,41518
2025-02-28 15:23:00,146.46,146.49,146.08,146.36,43854
2025-02-28 15:24:00,146.36,146.5,146.22,146.46,34851
2025-02-28 15:25:00,146.45,146.87,146.34,146.79,103654
2025-02-28 15:26:00,146.8,146.9,146.52,146.53,53618
2025-02-28 15:27:00,146.52,146.82,146.34,146.76,43831
2025-02-28 15:28:00,146.77,146.85,146.63,146.83,20850
2025-02-28 15:29:00,146.83,146.99,146.67,146.81,34708
2025-02-28 15:30:00,146.81,147.06,146.74,146.98,56076
2025-02-28 15:31:00,146.97,147.79,146.97,147.45,93104
2025-02-28 15:32:00,147.44,147.66,146.76,146.8,112265
2025-02-28 15:33:00,146.79,146.88,145.87,145.9,165486
2025-02-28 15:34:00,145.89,146.03,145.3,145.51,121102
2025-02-28 15:35:00,145.51,145.77,145.11,145.34,68470
2025-02-28 15:36:00,145.34,145.74,145.21,145.31,53648
2025-02-28 15:37:00,145.31,145.46,145.01,145.46,37950
2025-02-28 15:38:00,145.47,145.52,145.1,145.21,25040
2025-02-28 15:39:00,145.21,145.29,144.72,144.78,62506
2025-02-28 15:40:00,144.79,145.42,144.77,145.38,75333
2025-02-28 15:41:00,145.38,145.39,145.16,145.16,29799
2025-02-28 15:42:00,145.15,145.48,145.15,145.48,15300
2025-02-28 15:43:00,145.48,145.69,145.39,145.47,22352
2025-02-28 15:44:00,145.47,145.51,145.22,145.22,15874
2025-02-28 15:45:00,145.23,145.84,145.23,145.84,29027
2025-02-28 15:46:00,145.84,146.02,145.61,145.91,87147
2025-02-28 15:47:00,145.91,146.25,145.7,145.77,38349
2025-02-28 15:48:00,145.77,146.03,145.6,145.9,43112
2025-02-28 15:49:00,145.89,146.14,145.7,145.79,26170
2025-02-28 15:50:00,145.8,146.16,145.75,145.78,22328
2025-02-28 15:51:00,145.77,146.2,145.7,146.17,18997
2025-02-28 15:52:00,146.17,146.23,145.72,145.74,16043
2025-02-28 15:53:00,145.74,145.74,145.46,145.6,18601
2025-02-28 15:54:00,145.61,145.99,145.61,145.76,26259
2025-02-28 15:55:00,145.76,145.76,145.36,145.39,20520
2025-02-28 15:56:00,145.38,145.4,144.94,145.05,34185
2025-02-28 15:57:00,145.05,145.21,144.95,144.95,27905
2025-02-28 15:58:00,144.96,145.3,144.96,145.21,43045
2025-02-28 15:59:00,145.22,145.63,145.21,145.63,29971
2025-02-28 16:00:00,145.62,145.72,145.35,145.4,32289
2025-02-28 16:01:00,145.4,145.53,145.21,145.4,23095
2025-02-28 16:02:00,145.41,145.44,145.03,145.17,25829
2025-02-28 16:03:00,145.16,145.24,144.89,144.9,32901
2025-02-28 16:04:00,144.9,144.9,144.4,144.65,78092
2025-02-28 16:05:00,144.62,145.22,144.59,145.18,50040
2025-02-28 16:06:00,145.18,145.5,145.14,145.15,35054
2025-02-28 16:07:00,145.15,145.15,144.53,144.55,23788
2025-02-28 16:08:00,144.55,144.74,144.45,144.5,48016
2025-02-28 16:09:00,144.5,144.6,144.41,144.44,30203
2025-02-28 16:10:00,144.44,144.74,144.44,144.71,35524
2025-02-28 16:11:00,144.72,144.93,144.42,144.46,33390
2025-02-28 16:12:00,144.45,144.6,144.22,144.38,90596
2025-02-28 16:13:00,144.39,144.56,144.25,144.48,28571
2025-02-28 16:14:00,144.48,144.68,144.44,144.64,19714
2025-02-28 16:15:00,144.65,145.01,144.47,144.99,49091
2025-02-28 16:16:00,144.99,145.22,144.68,144.98,62743
2025-02-28 16:17:00,144.99,145.33,144.96,145.23,28318
2025-02-28 16:18:00,145.22,145.36,145.0,145.11,21911
2025-02-28 16:19:00,145.1,145.2,144.82,144.87,61246
2025-02-28 16:20:00,144.88,145.36,144.88,145.19,31283
2025-02-28 16:21:00,145.19,145.41,145.09,145.32,17488
2025-02-28 16:22:00,145.32,145.39,144.94,145.0,12784
2025-02-28 16:23:00,145.0,145.07,144.86,144.91,10050
2025-02-28 16:24:00,144.92,144.95,144.54,144.64,18043
2025-02-28 16:25:00,144.64,144.9,144.51,144.52,15068
2025-02-28 16:26:00,144.51,144.77,144.45,144.53,17597
2025-02-28 16:27:00,144.54,144.7,144.46,144.69,16832
2025-02-28 16:28:00,144.69,144.78,144.56,144.63,15097
2025-02-28 16:29:00,144.63,144.99,144.62,144.86,17438
2025-02-28 16:30:00,144.86,144.87,144.53,144.57,14356
