iter	Passed	Remaining
148	2697	15408
149	2712	15368
150	2728	15343
151	2744	15311
152	2758	15273
153	2772	15233
154	2786	15193
155	2801	15154
156	2824	15163
157	2840	15137
158	2856	15110
159	2886	15154
160	2902	15123
161	2917	15093
162	2931	15054
163	2945	15014
164	2959	14977
165	2979	14971
166	2994	14934
167	3010	14911
168	3025	14875
169	3042	14853
170	3056	14819
171	3074	14799
172	3090	14772
173	3104	14735
174	3121	14715
175	3135	14680
176	3149	14644
177	3164	14612
178	3184	14608
179	3201	14582
180	3217	14560
181	3233	14534
182	3247	14497
183	3261	14465
184	3276	14432
185	3296	14426
186	3310	14391
187	3324	14357
188	3339	14329
189	3353	14297
190	3368	14265
191	3392	14277
192	3406	14244
193	3424	14226
194	3439	14200
195	3454	14171
196	3473	14157
197	3487	14125
198	3501	14094
199	3519	14079
200	3536	14057
201	3551	14029
202	3565	13998
203	3583	13981
204	3599	13959
205	3615	13934
206	3629	13903
207	3643	13872
208	3662	13862
209	3676	13831
210	3694	13813
211	3710	13793
212	3726	13767
213	3740	13738
214	3754	13707
215	3768	13678
216	3790	13675
217	3805	13651
218	3821	13628
219	3837	13606
220	3852	13578
221	3866	13550
222	3880	13519
223	3894	13492
224	3909	13465
225	3923	13437
226	3948	13445
227	3962	13417
228	3979	13398
229	3994	13372
230	4010	13350
231	4026	13329
232	4042	13308
233	4058	13285
234	4074	13265
235	4089	13237
236	4103	13209
237	4120	13191
238	4136	13170
239	4152	13148
240	4166	13122
241	4184	13107
242	4200	13084
243	4215	13062
244	4231	13039
245	4246	13015
246	4260	12987
247	4273	12959
248	4287	12932
249	4302	12907
250	4316	12881
251	4330	12854
252	4344	12827
253	4359	12802
254	4372	12775
255	4387	12750
256	4401	12725
257	4421	12717
258	4437	12696
259	4453	12674
260	4469	12654
261	4483	12629
262	4497	12603
263	4512	12579
264	4532	12571
265	4548	12551
266	4562	12525
267	4579	12508
268	4610	12528
269	4625	12506
270	4641	12487
271	4657	12465
272	4671	12438
273	4685	12413
274	4699	12389
275	4714	12366
276	4736	12362
277	4750	12338
278	4764	12313
279	4779	12289
280	4793	12265
281	4808	12242
282	4823	12219
283	4846	12219
284	4861	12195
285	4875	12170
286	4893	12157
287	4909	12136
288	4925	12117
289	4939	12092
290	4956	12076
291	4970	12052
292	4988	12035
293	5004	12017
294	5018	11993
295	5033	11971
296	5052	11959
297	5066	11935
298	5084	11919
299	5099	11898
300	5114	11877
301	5128	11854
302	5147	11840
303	5163	11821
304	5179	11802
305	5193	11778
306	5211	11763
307	5225	11740
308	5242	11723
309	5256	11700
310	5273	11683
311	5287	11660
312	5301	11636
313	5315	11613
314	5337	11606
315	5351	11583
316	5365	11560
317	5379	11537
318	5393	11514
319	5408	11492
320	5422	11470
321	5436	11446
322	5450	11423
323	5479	11432
324	5493	11409
325	5507	11387
326	5521	11363
327	5536	11342
328	5550	11320
329	5574	11317
330	5589	11297
331	5603	11275
332	5621	11259
333	5637	11240
334	5651	11218
335	5670	11205
336	5684	11182
337	5700	11164
338	5715	11143
339	5732	11128
340	5746	11105
341	5761	11085
342	5775	11063
343	5790	11041
344	5812	11035
345	5827	11014
346	5841	10992
347	5859	10978
348	5876	10961
349	5890	10939
350	5907	10922
351	5921	10900
352	5935	10878
353	5949	10856
354	5971	10848
355	5984	10826
356	5999	10805
357	6013	10784
358	6034	10773
359	6048	10753
360	6066	10737
361	6083	10721
362	6097	10700
363	6114	10683
364	6130	10664
365	6144	10644
366	6158	10622
367	6173	10601
368	6193	10590
369	6209	10572
370	6225	10555
371	6240	10534
372	6258	10519
373	6272	10498
374	6286	10477
375	6301	10457
376	6315	10436
377	6330	10416
378	6344	10395
379	6359	10375
380	6374	10355
381	6400	10354
382	6414	10333
383	6431	10316
384	6445	10296
385	6459	10275
386	6473	10254
387	6489	10235
388	6509	10223
389	6523	10203
390	6537	10182
391	6551	10161
392	6566	10141
393	6580	10120
394	6594	10100
395	6608	10079
396	6637	10081
397	6651	10061
398	6666	10041
399	6680	10020
400	6695	10001
401	6710	9981
402	6724	9961
403	6747	9954
404	6764	9937
405	6778	9917
406	6794	9900
407	6808	9879
408	6823	9859
409	6838	9840
410	6857	9827
411	6873	9809
412	6889	9792
413	6903	9771
414	6917	9751
415	6932	9732
416	6952	9720
417	6969	9703
418	6983	9683
419	6999	9666
420	7013	9646
421	7028	9626
422	7048	9614
423	7063	9595
424	7077	9576
425	7094	9559
426	7109	9540
427	7127	9526
428	7141	9505
429	7156	9486
430	7174	9471
431	7191	9455
432	7205	9435
433	7220	9416
434	7234	9396
435	7248	9376
436	7263	9357
437	7277	9337
438	7291	9317
439	7317	9312
440	7333	9295
441	7349	9278
442	7365	9261
443	7379	9241
444	7393	9221
445	7411	9205
446	7424	9185
447	7442	9170
448	7457	9151
449	7475	9136
450	7489	9116
451	7504	9097
452	7517	9077
453	7532	9058
454	7546	9038
455	7560	9019
456	7587	9014
457	7601	8995
458	7615	8976
459	7630	8957
460	7648	8942
461	7662	8923
462	7677	8904
463	7691	8885
464	7707	8867
465	7728	8856
466	7744	8839
467	7759	8820
468	7775	8803
469	7790	8784
470	7805	8766
471	7820	8748
472	7840	8735
473	7854	8716
474	7868	8697
475	7883	8678
476	7897	8659
477	7912	8640
478	7926	8621
479	7951	8614
480	7965	8594
481	7983	8579
482	7997	8560
483	8015	8545
484	8029	8526
485	8043	8507
486	8062	8492
487	8078	8476
488	8092	8456
489	8107	8438
490	8124	8422
491	8139	8403
492	8153	8384
493	8167	8366
494	8188	8354
495	8202	8335
496	8216	8315
497	8231	8297
498	8245	8278
499	8259	8259
500	8274	8241
501	8300	8234
502	8316	8217
503	8333	8200
504	8348	8182
505	8362	8164
506	8377	8146
507	8392	8128
508	8406	8109
509	8421	8091
510	8443	8079
511	8457	8061
512	8475	8045
513	8489	8026
514	8503	8008
515	8517	7989
516	8532	7970
517	8546	7952
518	8560	7933
519	8574	7914
520	8588	7895
521	8602	7877
522	8617	7859
523	8630	7840
524	8645	7821
525	8659	7803
526	8673	7785
527	8688	7766
528	8702	7748
529	8716	7729
530	8731	7712
531	8746	7694
532	8761	7676
533	8775	7658
534	8790	7640
535	8811	7627
536	8826	7610
537	8841	7592
538	8855	7574
539	8870	7556
540	8889	7542
541	8903	7523
542	8917	7505
543	8937	7491
544	8951	7473
545	8966	7455
546	8984	7440
547	8999	7422
548	9013	7404
549	9027	7386
550	9048	7373
551	9064	7356
552	9079	7338
553	9093	7320
554	9112	7306
555	9126	7288
556	9141	7270
557	9155	7252
558	9170	7234
559	9191	7221
560	9205	7203
561	9219	7185
562	9233	7167
563	9254	7154
564	9268	7135
565	9282	7117
566	9296	7099
567	9311	7081
568	9326	7064
569	9349	7052
570	9364	7035
571	9378	7017
572	9392	6999
573	9407	6981
574	9421	6963
575	9436	6946
576	9457	6933
577	9474	6917
578	9488	6899
579	9505	6883
580	9520	6865
581	9534	6847
582	9548	6829
583	9563	6812
584	9578	6794
585	9601	6783
586	9616	6765
587	9631	6748
588	9646	6730
589	9660	6713
590	9679	6698
591	9693	6680
592	9707	6662
593	9721	6644
594	9734	6626
595	9758	6614
596	9772	6596
597	9790	6581
598	9804	6563
599	9818	6545
600	9832	6527
601	9854	6514
602	9868	6497
603	9883	6480
604	9898	6462
605	9913	6445
606	9927	6427
607	9949	6414
608	9963	6396
609	9978	6379
610	9992	6361
611	10006	6344
612	10021	6326
613	10045	6314
614	10060	6297
615	10077	6281
616	10091	6264
617	10109	6248
618	10123	6231
619	10138	6213
620	10156	6198
621	10171	6181
622	10186	6164
623	10203	6148
624	10219	6131
625	10233	6113
626	10247	6096
627	10266	6081
628	10282	6064
629	10296	6047
630	10310	6029
631	10325	6012
632	10346	5998
633	10360	5981
634	10378	5965
635	10393	5948
636	10407	5930
637	10425	5915
638	10439	5898
639	10457	5882
640	10473	5865
641	10487	5848
642	10501	5830
643	10520	5815
644	10534	5798
645	10548	5780
646	10563	5763
647	10577	5745
648	10591	5728
649	10605	5710
650	10619	5692
651	10633	5675
652	10648	5658
653	10662	5641
654	10680	5625
655	10695	5608
656	10709	5591
657	10724	5573
658	10738	5556
659	10752	5539
660	10766	5521
661	10790	5509
662	10805	5492
663	10822	5476
664	10837	5459
665	10853	5442
666	10867	5425
667	10882	5408
668	10897	5391
669	10912	5374
670	10932	5360
671	10948	5344
672	10963	5326
673	10980	5311
674	10996	5294
675	11010	5277
676	11025	5260
677	11040	5243
678	11054	5225
679	11068	5208
680	11081	5191
681	11095	5173
682	11110	5156
683	11125	5139
684	11139	5122
685	11154	5105
686	11171	5089
687	11185	5072
688	11200	5055
689	11214	5038
690	11229	5021
691	11243	5004
692	11258	4987
693	11272	4970
694	11299	4958
695	11315	4942
696	11330	4925
697	11347	4909
698	11363	4893
699	11378	4876
700	11393	4859
701	11411	4844
702	11425	4827
703	11439	4809
704	11453	4792
705	11475	4778
706	11490	4761
707	11503	4744
708	11522	4729
709	11538	4712
710	11552	4695
711	11567	4678
712	11581	4661
713	11596	4644
714	11610	4627
715	11624	4610
716	11649	4598
717	11664	4581
718	11681	4565
719	11698	4549
720	11713	4532
721	11729	4516
722	11743	4499
723	11759	4482
724	11776	4467
725	11791	4450
726	11806	4433
727	11820	4416
728	11834	4399
729	11848	4382
730	11863	4365
731	11877	4348
732	11892	4331
733	11907	4315
734	11921	4298
735	11951	4287
736	11967	4270
737	11982	4253
738	11997	4237
739	12012	4220
740	12027	4203
741	12042	4187
742	12062	4172
743	12077	4155
744	12091	4138
745	12105	4121
746	12124	4106
747	12139	4089
748	12155	4073
749	12171	4057
750	12187	4040
751	12201	4023
752	12216	4007
753	12231	3990
754	12245	3973
755	12266	3959
756	12281	3942
757	12295	3925
758	12313	3909
759	12330	3893
760	12344	3877
761	12358	3859
762	12372	3843
763	12386	3826
764	12401	3809
765	12425	3795
766	12439	3778
767	12453	3762
768	12468	3745
769	12483	3728
770	12503	3713
771	12517	3696
772	12534	3680
773	12551	3664
774	12567	3648
775	12582	3632
776	12597	3615
777	12612	3598
778	12626	3582
779	12641	3565
780	12661	3550
781	12677	3534
782	12694	3518
783	12710	3501
784	12724	3485
785	12739	3468
786	12753	3451
787	12768	3435
788	12781	3418
789	12795	3401
790	12820	3387
791	12851	3375
792	12866	3358
793	12880	3341
794	12894	3325
795	12909	3308
796	12923	3291
797	12944	3276
798	12958	3259
799	12973	3243
800	12987	3226
801	13009	3211
802	13022	3194
803	13036	3178
804	13051	3161
805	13071	3146
806	13088	3130
807	13103	3113
808	13119	3097
809	13133	3080
810	13147	3063
811	13168	3048
812	13183	3032
813	13198	3015
814	13212	2999
815	13230	2983
816	13245	2966
817	13259	2950
818	13274	2933
819	13288	2917
820	13302	2900
821	13316	2883
822	13342	2869
823	13356	2852
824	13374	2837
825	13389	2820
826	13404	2804
827	13418	2787
828	13432	2770
829	13447	2754
830	13461	2737
831	13476	2721
832	13490	2704
833	13504	2688
834	13519	2671
835	13534	2655
836	13548	2638
837	13563	2622
838	13582	2606
839	13596	2589
840	13614	2573
841	13628	2557
842	13644	2541
843	13659	2524
844	13676	2508
845	13690	2492
846	13705	2475
847	13723	2459
848	13737	2443
849	13751	2426
850	13765	2410
851	13780	2393
852	13795	2377
853	13810	2361
854	13836	2346
855	13850	2329
856	13864	2313
857	13879	2297
858	13893	2280
859	13908	2264
860	13922	2247
861	13937	2231
862	13951	2214
863	13978	2200
864	13993	2183
865	14007	2167
866	14021	2150
867	14036	2134
868	14057	2119
869	14071	2102
870	14085	2086
871	14099	2069
872	14113	2053
873	14136	2037
874	14149	2021
875	14164	2005
876	14179	1988
877	14193	1972
878	14207	1955
879	14232	1940
880	14246	1924
881	14260	1907
882	14274	1891
883	14288	1874
884	14309	1859
885	14327	1843
886	14341	1827
887	14355	1810
888	14370	1794
889	14384	1777
890	14406	1762
891	14422	1746
892	14438	1730
893	14454	1713
894	14469	1697
895	14484	1681
896	14498	1664
897	14512	1648
898	14526	1632
899	14541	1615
900	14555	1599
901	14570	1583
902	14584	1566
903	14599	1550
904	14613	1534
905	14628	1517
906	14646	1501
907	14662	1485
908	14676	1469
909	14691	1452
910	14705	1436
911	14719	1420
912	14734	1404
913	14748	1387
914	14762	1371
915	14776	1355
916	14791	1338
917	14807	1322
918	14821	1306
919	14836	1290
920	14853	1274
921	14870	1258
922	14900	1243
923	14914	1226
924	14929	1210
925	14945	1194
926	14960	1178
927	14980	1162
928	14994	1145
929	15009	1129
930	15023	1113
931	15038	1097
932	15059	1081
933	15072	1065
934	15087	1048
935	15101	1032
936	15116	1016
937	15139	1000
938	15153	984
939	15167	968
940	15185	952
941	15200	935
942	15217	919
943	15234	903
944	15251	887
945	15267	871
946	15289	855
947	15305	839
948	15319	823
949	15345	807
950	15359	791
951	15373	775
952	15388	758
953	15402	742
954	15417	726
955	15431	710
956	15445	694
957	15460	677
958	15474	661
959	15489	645
960	15504	629
961	15519	613
962	15536	596
963	15550	580
964	15565	564
965	15579	548
966	15594	532
967	15609	516
968	15623	499
969	15638	483
970	15652	467
971	15667	451
972	15693	435
973	15707	419
974	15725	403
975	15755	387
976	15771	371
977	15786	355
978	15803	338
979	15817	322
980	15832	306
981	15847	290
982	15861	274
983	15876	258
984	15891	241
985	15905	225
986	15919	209
987	15934	193
988	15948	177
989	15963	161
990	15977	145
991	15994	128
992	16010	112
993	16025	96
994	16042	80
995	16057	64
996	16072	48
997	16090	32
998	16104	16
999	16119	0
